,BookName,Href
34,Pro data visualization using R and JavaScript / Tom Barker,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&35%2C35%2C
35,"The R software : fundamentals of programming and statistical analysis / Pierre Lafaye de Micheaux, Rémy Drouilhet, Benoit Liquet.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&36%2C36%2C
36,"A two-step procedure to estimate participation and premiums in multistate health plans / Amado Cordova, Carter C. Price, Evan Saltzman",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&37%2C37%2C
37,The R book / Michael J. Crawley.,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&38%2C38%2C
38,"Proceedings of the 2nd International Conference on Green Communications and Networks 2012 (GCN 2012). Volume 3 [electronic resource] / Yuhang Yang, Maode Ma, editors",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&39%2C39%2C
39,"Numerical ecology / Pierre Legendre, Louis Legendre.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&40%2C40%2C
40,Numerical ecology [electronic resource] / Pierre Legendre and Louis Legendre.,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&41%2C41%2C
41,Analysis of phylogenetics and evolution with R / by Emmanuel Paradis,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&42%2C42%2C
42,"Programming graphical user interfaces in R [electronic resource] / Michael F. Lawrence, John Verzani.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&43%2C43%2C
43,"ECOOP 2012-- Object-oriented programming [electronic resource] : 26th European Conference, Beijing, China, June 11-16, 2012. Proceedings / James Noble (ed.)",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&44%2C44%2C
44,R cookbook / Paul Teetor,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&45%2C45%2C
45,Forecasting international migration in Europe [electronic resource] : a Bayesian view / Jakub Bijak ; (with contribution by Arkadiusz Wiśniowski),http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&46%2C46%2C
46,R in a nutshell / Joseph Adler.,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&47%2C47%2C
47,"High performance computing in science and engineering, Garching/Munich 2009 : transactions of the fourth joint HLRB and KONWIHR Review and Results Workshop, Dec. 8-9, 2009, Leibniz Supercomputing Centre, Garching/Munich, Germany / Siegfried Wagner [and others], editors",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&48%2C48%2C
48,Machine Learning Based Online Performance Prediction for Runtime Parallelization and Task Scheduling [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&49%2C49%2C
49,Simulation and inference for stochastic differential equations : with R examples / Stefano M. Iacus,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&50%2C50%2C
