,BookName,Href
33,"Numerical Python: scientific computing and data science applications with Numpy, SciPy and Matplotlib / Robert Johansson.",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&34%2C34%2C
34,Hands-on unsupervised learning using Python : how to build applied machine learning solutions from unlabeled data / Ankur A. Patel.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&35%2C35%2C
35,Python for bioinformatics / Sebastian Bassi.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&36%2C36%2C
36,Python for R users : a data science approach / Ajay Ohri,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&37%2C37%2C
37,Python for R users : a data science approach / Ajay Ohri.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&38%2C38%2C
38,"Simulating nonlinear circuits with Python power electronics : an open-source simulator, based on Python™ / Shivkumar V. Iyer",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&39%2C39%2C
39,A student's guide to Python for physical modeling / Jesse M. Kinder and Philip Nelson,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&40%2C40%2C
40,Understanding optics with Python / Vasudevan Lakshminarayanan [and three others].,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&41%2C41%2C
41,BiEntropy for Python v. 1.0 [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&42%2C42%2C
42,Complex network analysis in Python : recognize - construct - visualize - analyze - interpret / Dmitry Zinoviev ; edited by Adaobi Obi Tulton.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&43%2C43%2C
43,Using Asyncio in Python 3 : understanding Python's asynchronous programming features / Caleb Hattingh,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&44%2C44%2C
44,Tethys – A Python Package for Spatial and Temporal Downscaling of Global Water Withdrawals [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&45%2C45%2C
45,Understanding optics with Python / Vasudevan Lakshminarayanan [and three others],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&46%2C46%2C
46,Web scraping with Python : collecting more data from the modern web / Ryan Mitchell,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&47%2C47%2C
47,What is Python? / Jake VanderPlas and Matt Harrison,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&48%2C48%2C
48,A Python-Based ENDF Cross Section Explorer [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&49%2C49%2C
49,Python vs. R for data science / Michael Grogan,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&50%2C50%2C
